Uniquekey,category,matched_chat_text,Skill,pred_val_bert,pred_val_llm_skill,pred_val_llm_skill_desc,subprocess,group,confidence,reasoning
85328ecf0ae7ecb2aac62d66739706cf,basic,What is the fundamental difference between the general boundary and the specific boundary in a Version Space?,Version Spaces,Analyze,Understand,Understand,Comparing,lower_order,high,"The student asks for the fundamental difference between two concepts, which requires comparing and explaining their distinctions."
4af22f84a2aa9daa0a8bbf776088ac09,basic,"""When a new positive example is introduced, exactly which boundary is updated, and what is the rule for updating it?""",Version Spaces,Remember,Understand,Understand,Explaining,lower_order,high,"They ask which boundary is updated when a positive example arrives and the updating rule, a procedural explanation of the algorithm."
6dda4bc72c6bd84da46657d166bcd595,complex,"""if we receive a negative example that is incorrectly covered by our current specific boundary, what sequence of steps must we take to resolve this, and how does it affect the general boundary?""",Version Spaces,Analyze,Apply,Apply,Implementing,mid_order,high,"The question requests the sequence of procedural steps to correct an incorrectly covered negative example, which is implementation of algorithmic actions."
362227c4350d0b96c191f8910fa15ce7,complex,How do the operations of generalization and specialization interact to guarantee that the boundaries will eventually converge on the target concept,Version Spaces,Apply,Analyze,Analyze,Organizing,mid_order,high,"They ask how generalization and specialization interact to ensure boundary convergence, which requires organizing the operations and their interplay."
4d22cf8f96993f5874e69614e38be7e0,critical,"""Is there a scenario, or a specific type of concept representation, where the Version Space algorithm completely fails to converge? Give a brief answer""",Version Spaces,Understand,Evaluate,Evaluate,Checking,higher_order,high,"They ask whether there are representations or scenarios where Version Spaces fails to converge, requiring evaluation against algorithmic assumptions and criteria."
2268694e8e2cc1cf727b94ca7feaed5d,basic,"""What is a """"state"""" in the context of AI planning, and how does it differ from a """"goal""""?""",Planning,Analyze,Understand,Understand,Comparing,lower_order,high,"The student asks for the meanings of 'state' and 'goal' and how they differ, which is a conceptual comparison."
f1db89092b44bf584761bb7c5e5d14f3,basic,"""What is an operator in partial order planning, and what are its preconditions and postconditions?""",Planning,Analyze,Understand,Understand,Explaining,lower_order,high,"This requests definitions and explanation of an operator and its pre/postconditions, a conceptual understanding task."
1000e724c6e4218a4d6e2ea781daea81,basic,"""In partial order planning, how does the system detect and resolve a conflict between two steps that have contradictory effects on the same state variable?""",Planning,Apply,Understand,Understand,Explaining,lower_order,high,"The question asks for an explanation of how a planning system detects and resolves conflicts, requiring conceptual understanding."
b86c88797d8c7d04ffbc894af30afdcb,basic,"""How does the planner decide which open precondition to address next, and how does that decision affect the order in which steps are added to the plan?""",Planning,Analyze,Analyze,Analyze,Organizing,mid_order,high,"The question probes how choice of which open precondition to address structures the plan, which is an organizational analysis of planning steps."
a12a9978737dd2da0330899945dadf93,basic,"""What happens when partial order planning encounters a situation where resolving one conflict inevitably creates another? Ts there a principled way to escape this, or does the method fail?\n""",Planning,Create,Analyze,Analyze,Attributing,mid_order,high,"They ask what happens when conflict resolution creates new conflicts and whether there is a principled escape, requiring analysis of causes and algorithmic behavior."
f1f172035140a6e17dae5e774c7ff385,basic,Partial order planning assumes a fully known initial state and deterministic operators. How does this assumption limit the applicability of the method to real-world planning problems?,Planning,Apply,Evaluate,Evaluate,Checking,higher_order,high,"They ask how assumptions limit applicability to real-world problems, requiring a judgment about suitability against criteria."
75a5324ae432f678993dccd0fdb48947,basic,"""Could partial order planning be applied to scheduling a college student's weekly homework across multiple classes with deadlines and dependencies? What would the states, goals, and operators look like?\n""",Planning,Apply,Apply,Apply,Implementing,mid_order,high,"The student asks how to model a real scheduling problem in partial order planning, which is applying the planning procedure to a specific scenario."
13682434c56f5df0a16723c0cb673846,basic,"""My Question: How might hierarchical task network (HTN) planning improve on basic partial order planning for a complex problem like planning a dinner party where high-level tasks like """"prepare food"""" decompose into many subtasks?\n""",Planning,Analyze,Analyze,Analyze,Differentiating,mid_order,high,"The student asks how HTN improves on partial order planning for a complex problem, requiring differentiation of the methods and their effects."
1d77bb7ba0b85ffa56836767566fea1e,basic,What is creativity?,Explanation-Based Learning,Remember,Remember,Remember,Recalling,lower_order,high,Asking 'What is creativity?' requests a definitional recall of the concept.
d49149a67a2fb5066eebaf2b91b13f4e,basic,What occurs when an object or word has multiple definitions?,Explanation-Based Learning,Analyze,Understand,Understand,Explaining,lower_order,high,"They ask what happens when an object or word has multiple definitions, requiring explanation of consequences."
cd4c2eb269e397c52b99ee3e3a200fde,complex,"""1. when determining attributes to describe objects what if those attributes do not apply to other objects, how can we use this in incremental learning?""",Explanation-Based Learning,Apply,Analyze,Apply,Implementing,mid_order,medium,"The student asks how to use attributes that don't generalize in incremental learning, which requires implementing a method."
d9f6801a66b7610ab7cd66b8d7b13665,complex,In defining a concept what determines the basis of truth that we use?,Explanation-Based Learning,Understand,Understand,Analyze,Attributing,mid_order,medium,Asking what determines the basis of truth for a concept requires analyzing the foundations and sources of justification.
517b11169d59f495aa5421fbfa685c08,critical,Is problems solving creative or is more pattern matching that we can do?,Explanation-Based Learning,Evaluate,Understand,Evaluate,Comparing,higher_order,high,"The student asks to judge whether problem solving is creative or pattern matching, which involves comparison and evaluation."
dad3135ae6b27df8cc57d4b07570f3da,critical,"""AI agents use relationships to determine if a concept of an object matches, but the relationships are not equally important how does this factor into transfer?""",Explanation-Based Learning,Analyze,Analyze,Analyze,Attributing,mid_order,high,"The question asks how varying importance of relationships affects transfer, which requires attributing effects to relationship weights."
1ed1bd66f60bf70eed33992265524dc7,creative,Is abstraction always generalization how can we abstract the concept of abstraction?,Explanation-Based Learning,Understand,Create,Create,Generating,higher_order,medium,"The question is meta-conceptual and asks to abstract the concept of abstraction, which requires generating a novel higher-order abstraction."
76e0e731a46bef60152d79ec596df42a,creative,"""Question: causal relationships are important in abstraction, are there any other types of relationships that are also important as well?""",Explanation-Based Learning,Analyze,Understand,Understand,Exemplifying,lower_order,high,Requesting other important types of relationships besides causal asks for examples and categorization.
6e2540bb13c9711f6f6891f090ca7c00,basic,What is the difference between a generator and a tester?,Generate & Test,Analyze,Understand,Understand,Comparing,lower_order,high,"The student requests the difference between two concepts, which requires comparing their roles and definitions."
0f8986b03b94f96cb71503a185699751,basic,How does the tester decide which states to eliminate in the guards and prisoners problem?,Generate & Test,Evaluate,Understand,Analyze,Attributing,mid_order,high,"The question asks how the tester chooses which states to eliminate, requiring analysis of the decision criteria and their effects."
c81bf6f1c9706d5a8f403ae6d27adc75,complex,How does the generator and tester interact over multiple iterations?,Generate & Test,Analyze,Understand,Understand,Explaining,lower_order,high,Describing generator/tester interaction over iterations is an explanation of their procedural interplay.
727f3256d1d12f3d8d4f1d9368b3ddd5,complex,How does it impact efficiency if a generator produces multiple possible states but the tester is weak?,Generate & Test,Analyze,Analyze,Analyze,Attributing,mid_order,high,"This asks how a weak tester interacting with a prolific generator affects efficiency, requiring analysis of their interaction."
3fde8116127aee01ca9786704add2de5,critical,What are some limitations of generate and test in unconstrained domains?,Generate & Test,Understand,Understand,Evaluate,Critiquing,higher_order,high,Listing limitations of a method in unconstrained domains is a critique of its applicability and performance.
1f601a7aeba081c52056a3206a63c166,critical,Would generate and test fail even if there is a correct solution that exists?,Generate & Test,Evaluate,Analyze,Evaluate,Checking,higher_order,high,"This asks whether the method can fail despite a solution existing, which is a judgment about the method's reliability."
14bbab70f46c89707c174677e291b791,creative,How could generate and test be adapted to solve Raven’s Progressive Matrices more efficiently?,Generate & Test,Create,Create,Create,Planning,higher_order,high,"The student asks for adaptations to improve efficiency, requiring generation and planning of novel method changes."
7d63cdc1a721feee701fc5ee74ace15c,creative,What would happen if both the generator and tester were highly intelligent? Would generate and test still be necessary?,Generate & Test,Create,Evaluate,Evaluate,Checking,higher_order,high,"The student asks whether the method remains necessary under different agent capabilities, requiring evaluation of its continued value."
930ae16504c2027af8e0dde3118b8905,basic,explain version spaces,Version Spaces,Understand,Understand,Understand,Explaining,lower_order,high,"The student requests an explanation of version spaces, a conceptual understanding task."
7bc5e14a9ca95e8f85de46db4782458c,basic,why is pruning done,Version Spaces,Remember,Understand,Understand,Explaining,lower_order,high,Asking why pruning is performed requests an explanation of its purpose and rationale.
55c66180b243439ab165ce6065b1a249,complex,"""what is the difference between incremental concept leaning, explaination based learning and version spaces""",Version Spaces,Analyze,Understand,Understand,Comparing,lower_order,high,"They ask how three learning paradigms differ, which is a comparative understanding task."
4de14a97ffface3dcc0e2ff7c7ba767f,complex,how is convergence ensured,Version Spaces,Analyze,Understand,Understand,Explaining,lower_order,high,Asking how convergence is ensured requests an explanation of the mechanism or proof behind the guarantee.
8abb6d9dc80a1c13954217aa929cc58b,critical,in this framework of learning can anything be learned from only positive examples after the first positive example,Version Spaces,Apply,Understand,Analyze,Attributing,mid_order,high,"This asks whether learning is possible from only positive examples, requiring analysis of the framework's limitations and implications."
d9a1bd452a3215a1b67f5989f5eaab1a,critical,what happens when multiple concepts are redundant,Version Spaces,Apply,Analyze,Analyze,Attributing,mid_order,high,"They ask about consequences when concepts are redundant, which requires analyzing effects and attributing outcomes."
f2a3652cd27a875020b1733fdd81b1ff,creative,what is the best way to improve version spaces as a skill to make it efficient and robust,Version Spaces,Evaluate,Create,Create,Planning,higher_order,medium,Requesting the best ways to improve version spaces for efficiency and robustness asks for generation of a development plan.
efa32410b91df3465798abdffa64b845,creative,can random forest be made using version spaces,Version Spaces,Apply,Create,Evaluate,Checking,higher_order,medium,Asking whether a random forest can be made using version spaces is a feasibility judgment requiring evaluation of compatibility.
a694c9fedbb4181018923945d208daad,basic,"""What is the goal of the version spaces algorithm, and what problem does it solve?""",Version Spaces,Remember,Understand,Understand,Summarizing,lower_order,high,"The question requests a concise statement of the algorithm's goal and the problem it addresses, a summarization task."
4eeee1cc5ad0ec933cc93ca888894be8,basic,What is the difference between the specific boundary and the general boundary in version spaces?,Version Spaces,Analyze,Understand,Understand,Explaining,lower_order,high,Asking for the difference between specific and general boundaries is a request for a conceptual explanation of their roles.
